student_id,Credits,courses_can_register,Block_name,block_courses
202001902,129,"['AIS477', 'MATH203i']",AI-JR-6,"['AIS301', 'CSCI305', 'CSCI311/ECEN432', 'CSCI313/ECEN428', 'CSCI363', 'MATH203i']"
202000656,82,"['AIS490', 'CSCI410', 'CSCI461', 'CSCI465/ECEN433']",AI-JR-10,"['AIS390', 'AIS490', 'CSCI410', 'CSCI461', 'CSCI465/ECEN433', 'MATH203i', 'MATH301i']"
202000165,131,['AIS490'],,
202000993,118,"['AIS496', 'CSCI322', 'ENGL202', 'HUMA101', 'MATH301i']",AI-SR-4,"['AIS411', 'AIS412', 'AIS496', 'CSCI313/ECEN428', 'CSCI322', 'CSCI410', 'CSCI461']"
231000410,25,"['CSCI101', 'CSCI102', 'CSCI208', 'CSCI217', 'ECEN101C', 'ENGL003']",AI-FR-3,"['CSCI101', 'CSCI102', 'ENGL001', 'MATH111i']"
221001576,0,"['CSCI101', 'CSCI102', 'HUMA101', 'MATH211', 'PHYS101C']",AI-FR-2,"['CSCI101', 'CSCI102', 'ENGL002', 'HUMA101', 'MATH111i', 'PHYS101C']"
231001085,3,"['CSCI101', 'CSCI112', 'CSCI205', 'HUMA101', 'MATH211', 'PHYS101C']",AI-FR-1,"['CSCI102', 'CSCI205', 'ENGL000', 'HUMA101', 'MATH112i', 'MATH211', 'PHYS101C']"
231002186,13,"['CSCI101', 'CSCI112', 'ECEN101C', 'ENGL002', 'HUMA101']",AI-FR-2,"['CSCI101', 'CSCI102', 'ENGL002', 'HUMA101', 'MATH111i', 'PHYS101C']"
221000390,22,"['CSCI101', 'CSCI207/ECEN204', 'ECEN101C', 'ENGL003', 'MATH112i', 'MATH211']",AI-SO-3,"['CSCI207/ECEN204', 'ECEN101C', 'ENGL000', 'HUMA101', 'MATH112i', 'MATH201', 'MATH211']"
231000525,5,"['CSCI102', 'ENGL002', 'HUMA101', 'MATH211', 'PHYS101C']",AI-FR-2,"['CSCI101', 'CSCI102', 'ENGL002', 'HUMA101', 'MATH111i', 'PHYS101C']"
231000239,8,"['CSCI102', 'ENGL003', 'HUMA101', 'MATH112i', 'MATH201']",AI-FR-1,"['CSCI102', 'CSCI205', 'ENGL000', 'HUMA101', 'MATH112i', 'MATH211', 'PHYS101C']"
231000669,16,"['CSCI112', 'CSCI205', 'CSCI212', 'ENGL201', 'MATH112i', 'MATH211']",AI-FR-1,"['CSCI102', 'CSCI205', 'ENGL000', 'HUMA101', 'MATH112i', 'MATH211', 'PHYS101C']"
231001151,8,"['CSCI112', 'CSCI205', 'ENGL003', 'HUMA101', 'MATH211', 'PHYS101C']",AI-FR-1,"['CSCI102', 'CSCI205', 'ENGL000', 'HUMA101', 'MATH112i', 'MATH211', 'PHYS101C']"
202000423,9,"['CSCI112', 'CSCI205', 'HUMA101', 'MATH112i', 'MATH201']",AI-FR-1,"['CSCI102', 'CSCI205', 'ENGL000', 'HUMA101', 'MATH112i', 'MATH211', 'PHYS101C']"
231000276,22,"['CSCI205', 'CSCI207/ECEN204', 'CSCI212', 'ENGL002', 'MATH112i', 'MATH201']",AI-SO-1,"['CSCI207/ECEN204', 'CSCI212', 'ENGL000', 'HUMA101', 'MATH201', 'MATH203i']"
231000567,27,"['CSCI205', 'CSCI207/ECEN204', 'ECEN101C', 'MATH112i', 'MATH201']",AI-SO-3,"['CSCI207/ECEN204', 'ECEN101C', 'ENGL000', 'HUMA101', 'MATH112i', 'MATH201', 'MATH211']"
231000014,21,"['CSCI205', 'CSCI207/ECEN204', 'ENGL201', 'HUMA101', 'MATH112i', 'PHYS101C']",AI-SO-4,"['CSCI207/ECEN204', 'ENGL000', 'HUMA101', 'MATH112i', 'MATH211', 'PHYS101C']"
231000310,19,"['CSCI205', 'CSCI207/ECEN204', 'ENGL201', 'HUMA101', 'MATH112i', 'PHYS101C']",AI-SO-4,"['CSCI207/ECEN204', 'ENGL000', 'HUMA101', 'MATH112i', 'MATH211', 'PHYS101C']"
231000008,32,"['CSCI207/ECEN204', 'CSCI212', 'ENGL003', 'HUMA101', 'MATH201', 'MATH301i']",AI-SO-1,"['CSCI207/ECEN204', 'CSCI212', 'ENGL000', 'HUMA101', 'MATH201', 'MATH203i']"
231000040,28,"['CSCI207/ECEN204', 'CSCI212', 'ENGL003', 'HUMA101', 'MATH201', 'MATH301i']",AI-SO-1,"['CSCI207/ECEN204', 'CSCI212', 'ENGL000', 'HUMA101', 'MATH201', 'MATH203i']"
231002171,25,"['CSCI207/ECEN204', 'CSCI212', 'ENGL003', 'HUMA101', 'MATH211', 'MATH301i']",AI-SO-2,"['CSCI207/ECEN204', 'CSCI212', 'ENGL000', 'HUMA101', 'MATH201', 'MATH211']"
231000045,27,"['CSCI207/ECEN204', 'CSCI212', 'ENGL201', 'HUMA101', 'MATH112i', 'MATH201']",AI-SO-1,"['CSCI207/ECEN204', 'CSCI212', 'ENGL000', 'HUMA101', 'MATH201', 'MATH203i']"
231000005,30,"['CSCI207/ECEN204', 'CSCI212', 'ENGL201', 'HUMA101', 'MATH201', 'MATH301i']",AI-SO-1,"['CSCI207/ECEN204', 'CSCI212', 'ENGL000', 'HUMA101', 'MATH201', 'MATH203i']"
231000010,30,"['CSCI207/ECEN204', 'CSCI212', 'ENGL201', 'HUMA101', 'MATH201', 'MATH301i']",AI-SO-1,"['CSCI207/ECEN204', 'CSCI212', 'ENGL000', 'HUMA101', 'MATH201', 'MATH203i']"
231000032,30,"['CSCI207/ECEN204', 'CSCI212', 'ENGL201', 'HUMA101', 'MATH201', 'MATH301i']",AI-SO-1,"['CSCI207/ECEN204', 'CSCI212', 'ENGL000', 'HUMA101', 'MATH201', 'MATH203i']"
231000033,28,"['CSCI207/ECEN204', 'CSCI212', 'ENGL201', 'HUMA101', 'MATH201', 'MATH301i']",AI-SO-1,"['CSCI207/ECEN204', 'CSCI212', 'ENGL000', 'HUMA101', 'MATH201', 'MATH203i']"
231000063,32,"['CSCI207/ECEN204', 'CSCI212', 'ENGL201', 'HUMA101', 'MATH201', 'MATH301i']",AI-SO-1,"['CSCI207/ECEN204', 'CSCI212', 'ENGL000', 'HUMA101', 'MATH201', 'MATH203i']"
231000107,30,"['CSCI207/ECEN204', 'CSCI212', 'ENGL201', 'HUMA101', 'MATH201', 'MATH301i']",AI-SO-1,"['CSCI207/ECEN204', 'CSCI212', 'ENGL000', 'HUMA101', 'MATH201', 'MATH203i']"
231000119,30,"['CSCI207/ECEN204', 'CSCI212', 'ENGL201', 'HUMA101', 'MATH201', 'MATH301i']",AI-SO-1,"['CSCI207/ECEN204', 'CSCI212', 'ENGL000', 'HUMA101', 'MATH201', 'MATH203i']"
231000137,32,"['CSCI207/ECEN204', 'CSCI212', 'ENGL201', 'HUMA101', 'MATH201', 'MATH301i']",AI-SO-1,"['CSCI207/ECEN204', 'CSCI212', 'ENGL000', 'HUMA101', 'MATH201', 'MATH203i']"
231000200,30,"['CSCI207/ECEN204', 'CSCI212', 'ENGL201', 'HUMA101', 'MATH201', 'MATH301i']",AI-SO-1,"['CSCI207/ECEN204', 'CSCI212', 'ENGL000', 'HUMA101', 'MATH201', 'MATH203i']"
231000241,34,"['CSCI207/ECEN204', 'CSCI212', 'ENGL201', 'HUMA101', 'MATH201', 'MATH301i']",AI-SO-1,"['CSCI207/ECEN204', 'CSCI212', 'ENGL000', 'HUMA101', 'MATH201', 'MATH203i']"
231000272,35,"['CSCI207/ECEN204', 'CSCI212', 'ENGL201', 'HUMA101', 'MATH201', 'MATH301i']",AI-SO-1,"['CSCI207/ECEN204', 'CSCI212', 'ENGL000', 'HUMA101', 'MATH201', 'MATH203i']"
231000278,30,"['CSCI207/ECEN204', 'CSCI212', 'ENGL201', 'HUMA101', 'MATH201', 'MATH301i']",AI-SO-1,"['CSCI207/ECEN204', 'CSCI212', 'ENGL000', 'HUMA101', 'MATH201', 'MATH203i']"
231000334,30,"['CSCI207/ECEN204', 'CSCI212', 'ENGL201', 'HUMA101', 'MATH201', 'MATH301i']",AI-SO-1,"['CSCI207/ECEN204', 'CSCI212', 'ENGL000', 'HUMA101', 'MATH201', 'MATH203i']"
231000489,30,"['CSCI207/ECEN204', 'CSCI212', 'ENGL201', 'HUMA101', 'MATH201', 'MATH301i']",AI-SO-1,"['CSCI207/ECEN204', 'CSCI212', 'ENGL000', 'HUMA101', 'MATH201', 'MATH203i']"
231000491,30,"['CSCI207/ECEN204', 'CSCI212', 'ENGL201', 'HUMA101', 'MATH201', 'MATH301i']",AI-SO-1,"['CSCI207/ECEN204', 'CSCI212', 'ENGL000', 'HUMA101', 'MATH201', 'MATH203i']"
231000614,28,"['CSCI207/ECEN204', 'CSCI212', 'ENGL201', 'HUMA101', 'MATH201', 'MATH301i']",AI-SO-1,"['CSCI207/ECEN204', 'CSCI212', 'ENGL000', 'HUMA101', 'MATH201', 'MATH203i']"
231000620,32,"['CSCI207/ECEN204', 'CSCI212', 'ENGL201', 'HUMA101', 'MATH201', 'MATH301i']",AI-SO-1,"['CSCI207/ECEN204', 'CSCI212', 'ENGL000', 'HUMA101', 'MATH201', 'MATH203i']"
231000729,28,"['CSCI207/ECEN204', 'CSCI212', 'ENGL201', 'HUMA101', 'MATH201', 'MATH301i']",AI-SO-1,"['CSCI207/ECEN204', 'CSCI212', 'ENGL000', 'HUMA101', 'MATH201', 'MATH203i']"
231000764,28,"['CSCI207/ECEN204', 'CSCI212', 'ENGL201', 'HUMA101', 'MATH201', 'MATH301i']",AI-SO-1,"['CSCI207/ECEN204', 'CSCI212', 'ENGL000', 'HUMA101', 'MATH201', 'MATH203i']"
231000834,30,"['CSCI207/ECEN204', 'CSCI212', 'ENGL201', 'HUMA101', 'MATH201', 'MATH301i']",AI-SO-1,"['CSCI207/ECEN204', 'CSCI212', 'ENGL000', 'HUMA101', 'MATH201', 'MATH203i']"
231000848,30,"['CSCI207/ECEN204', 'CSCI212', 'ENGL201', 'HUMA101', 'MATH201', 'MATH301i']",AI-SO-1,"['CSCI207/ECEN204', 'CSCI212', 'ENGL000', 'HUMA101', 'MATH201', 'MATH203i']"
231000861,28,"['CSCI207/ECEN204', 'CSCI212', 'ENGL201', 'HUMA101', 'MATH201', 'MATH301i']",AI-SO-1,"['CSCI207/ECEN204', 'CSCI212', 'ENGL000', 'HUMA101', 'MATH201', 'MATH203i']"
231000897,30,"['CSCI207/ECEN204', 'CSCI212', 'ENGL201', 'HUMA101', 'MATH201', 'MATH301i']",AI-SO-1,"['CSCI207/ECEN204', 'CSCI212', 'ENGL000', 'HUMA101', 'MATH201', 'MATH203i']"
231000939,30,"['CSCI207/ECEN204', 'CSCI212', 'ENGL201', 'HUMA101', 'MATH201', 'MATH301i']",AI-SO-1,"['CSCI207/ECEN204', 'CSCI212', 'ENGL000', 'HUMA101', 'MATH201', 'MATH203i']"
231000957,30,"['CSCI207/ECEN204', 'CSCI212', 'ENGL201', 'HUMA101', 'MATH201', 'MATH301i']",AI-SO-1,"['CSCI207/ECEN204', 'CSCI212', 'ENGL000', 'HUMA101', 'MATH201', 'MATH203i']"
231001296,32,"['CSCI207/ECEN204', 'CSCI212', 'ENGL201', 'HUMA101', 'MATH201', 'MATH301i']",AI-SO-1,"['CSCI207/ECEN204', 'CSCI212', 'ENGL000', 'HUMA101', 'MATH201', 'MATH203i']"
231001984,30,"['CSCI207/ECEN204', 'CSCI212', 'ENGL201', 'HUMA101', 'MATH201', 'MATH301i']",AI-SO-1,"['CSCI207/ECEN204', 'CSCI212', 'ENGL000', 'HUMA101', 'MATH201', 'MATH203i']"
231000654,27,"['CSCI207/ECEN204', 'CSCI212', 'ENGL201', 'HUMA101', 'MATH211', 'MATH301i']",AI-SO-2,"['CSCI207/ECEN204', 'CSCI212', 'ENGL000', 'HUMA101', 'MATH201', 'MATH211']"
231000993,29,"['CSCI207/ECEN204', 'CSCI212', 'ENGL201', 'HUMA101', 'MATH211', 'MATH301i']",AI-SO-2,"['CSCI207/ECEN204', 'CSCI212', 'ENGL000', 'HUMA101', 'MATH201', 'MATH211']"
231000114,31,"['CSCI207/ECEN204', 'CSCI212', 'ENGL202', 'HUMA101', 'MATH201', 'MATH301i']",AI-SO-1,"['CSCI207/ECEN204', 'CSCI212', 'ENGL000', 'HUMA101', 'MATH201', 'MATH203i']"
231000313,31,"['CSCI207/ECEN204', 'CSCI212', 'ENGL202', 'HUMA101', 'MATH201', 'MATH301i']",AI-SO-1,"['CSCI207/ECEN204', 'CSCI212', 'ENGL000', 'HUMA101', 'MATH201', 'MATH203i']"
231000573,33,"['CSCI207/ECEN204', 'CSCI212', 'ENGL202', 'HUMA101', 'MATH201', 'MATH301i']",AI-SO-1,"['CSCI207/ECEN204', 'CSCI212', 'ENGL000', 'HUMA101', 'MATH201', 'MATH203i']"
231000650,33,"['CSCI207/ECEN204', 'CSCI212', 'ENGL202', 'HUMA101', 'MATH201', 'MATH301i']",AI-SO-1,"['CSCI207/ECEN204', 'CSCI212', 'ENGL000', 'HUMA101', 'MATH201', 'MATH203i']"
231000765,33,"['CSCI207/ECEN204', 'CSCI212', 'ENGL202', 'HUMA101', 'MATH201', 'MATH301i']",AI-SO-1,"['CSCI207/ECEN204', 'CSCI212', 'ENGL000', 'HUMA101', 'MATH201', 'MATH203i']"
231001806,16,"['CSCI207/ECEN204', 'ECEN101C', 'ENGL002', 'HUMA101', 'MATH111i', 'MATH211']",AI-SO-3,"['CSCI207/ECEN204', 'ECEN101C', 'ENGL000', 'HUMA101', 'MATH112i', 'MATH201', 'MATH211']"
222000008,26,"['CSCI207/ECEN204', 'ECEN101C', 'ENGL002', 'HUMA101', 'MATH112i', 'MATH201']",AI-SO-3,"['CSCI207/ECEN204', 'ECEN101C', 'ENGL000', 'HUMA101', 'MATH112i', 'MATH201', 'MATH211']"
